Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa
     Préstamos a más de 360 días;16.77;-;17.31;8.50;11.08;13.78;-;20.59;17.93;-;-;-;-;-;-;s.i.;s.i.;-;01/03/2023;Medianas Empresas
     Descuentos;19.54;-;17.75;-;13.40;16.05;-;12.91;-;-;-;-;-;-;-;s.i.;s.i.;-;01/03/2023;Pequeñas Empresas
     Préstamos hasta 30 días;21.75;-;15.40;-;-;16.73;-;-;47.61;-;-;-;-;-;-;-;-;-;01/03/2023;Pequeñas Empresas
     Préstamos de 31 a 90 días;20.01;-;16.09;-;17.19;16.00;-;-;38.04;-;-;-;-;-;-;s.i.;s.i.;-;01/03/2023;Pequeñas Empresas
     Préstamos de 91 a 180 días;20.87;-;15.94;-;13.91;15.55;-;21.31;35.52;-;-;-;-;-;-;-;-;-;01/03/2023;Pequeñas Empresas
     Préstamos de 181 a 360 días;21.51;13.50;19.33;10.55;-;17.69;-;29.15;31.77;-;23.37;-;-;-;-;s.i.;s.i.;-;01/03/2023;Pequeñas Empresas
     Préstamos a más de 360 días;20.53;-;22.35;33.00;11.00;18.18;-;23.89;24.00;-;24.21;-;-;-;-;-;-;-;01/03/2023;Pequeñas Empresas
     Tarjetas de Crédito;34.25;-;30.00;29.74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/03/2023;Microempresas
     Descuentos;-;-;18.72;-;-;-;-;-;-;-;-;-;-;-;-;s.i.;s.i.;-;01/03/2023;Microempresas
     Préstamos Revolventes;15.84;-;-;-;10.75;-;-;-;45.65;-;-;-;-;-;-;-;-;-;01/03/2023;Microempresas
     Préstamos a cuota fija hasta 30 días;19.67;-;15.20;-;-;-;-;-;65.04;-;-;-;-;-;-;s.i.;s.i.;-;01/03/2023;Microempresas
     Préstamos  a cuota fija de 31 a 90 días;22.47;-;15.22;-;-;-;-;30.00;63.96;-;-;-;-;-;-;-;-;-;01/03/2023;Microempresas
     Préstamos  a cuota fija de 91 a 180 días;19.68;-;11.27;-;-;-;-;12.50;60.73;-;-;-;-;-;-;s.i.;s.i.;-;01/03/2023;Microempresas
     Préstamos a cuota fija de 181 a 360 días;18.57;-;14.98;-;-;17.00;-;30.00;53.15;-;24.50;-;-;-;-;-;-;-;01/03/2023;Microempresas
     Préstamos a cuota fija a más de 360 días;22.49;-;32.79;-;-;17.04;-;25.02;32.54;-;25.79;-;-;-;-;s.i.;s.i.;-;01/03/2023;Microempresas
     Tarjetas de Crédito;51.92;26.10;54.24;43.77;49.21;42.81;-;64.70;-;18.87;81.37;-;79.10;-;-;s.i.;s.i.;-;01/03/2023;Consumo
     Préstamos Revolventes;13.18;-;-;-;-;-;-;-;57.01;-;-;-;-;-;-;-;-;-;01/03/2023;Consumo
     Préstamos no  Revolventes para automóviles;13.14;-;11.58;-;14.66;11.29;-;-;-;-;-;-;-;27.50;-;s.i.;s.i.;-;01/03/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad hasta 360 días;19.81;37.52;81.16;39.75;7.76;24.74;-;32.98;70.06;-;32.51;-;-;18.50;-;-;-;-;01/03/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad a más de 360 días;18.52;15.27;19.99;34.91;16.16;20.87;-;23.65;44.70;11.70;30.76;-;28.09;67.92;-;s.i.;s.i.;-;01/03/2023;Consumo
     Créditos pignoraticios;-;50.59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/03/2023;Consumo
     Préstamos hipotecarios para vivienda;9.90;10.16;9.86;10.53;10.99;9.58;-;9.68;16.94;8.92;-;-;-;-;-;-;-;-;01/03/2023;Hipotecarios
