Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa
     Préstamos a más de 360 días;20.82;-;20.95;12.40;12.90;16.64;-;22.03;23.42;-;24.15;-;-;19.69;-;-;-;-;02/10/2023;Pequeñas Empresas
     Tarjetas de Crédito;33.50;-;30.97;25.57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;02/10/2023;Microempresas
     Descuentos;13.55;-;20.44;-;-;14.80;-;14.45;-;-;-;-;-;-;-;s.i.;s.i.;-;02/10/2023;Microempresas
     Préstamos Revolventes;22.75;-;-;-;-;-;-;-;46.39;-;-;-;-;-;-;-;-;-;02/10/2023;Microempresas
     Préstamos a cuota fija hasta 30 días;21.14;-;-;-;-;-;-;-;53.71;-;-;-;-;-;-;s.i.;s.i.;-;02/10/2023;Microempresas
     Préstamos  a cuota fija de 31 a 90 días;20.11;-;14.12;-;-;-;-;5.00;67.81;-;-;-;-;-;-;-;-;-;02/10/2023;Microempresas
     Préstamos  a cuota fija de 91 a 180 días;23.87;-;17.62;-;-;-;-;55.40;60.09;-;-;-;-;-;-;s.i.;s.i.;-;02/10/2023;Microempresas
     Préstamos a cuota fija de 181 a 360 días;22.91;-;24.47;-;-;23.39;-;57.19;54.43;-;30.06;-;-;-;-;-;-;-;02/10/2023;Microempresas
     Préstamos a cuota fija a más de 360 días;21.69;-;27.85;12.32;-;16.13;-;23.00;32.52;-;27.82;-;-;-;-;s.i.;s.i.;-;02/10/2023;Microempresas
     Tarjetas de Crédito;56.81;28.74;61.58;36.70;56.31;47.15;-;69.43;-;40.17;87.39;-;87.96;-;-;s.i.;s.i.;-;02/10/2023;Consumo
     Préstamos Revolventes;12.81;-;-;-;-;-;-;-;57.52;-;-;-;-;-;-;-;-;-;02/10/2023;Consumo
     Préstamos no  Revolventes para automóviles;13.61;-;13.42;-;14.12;11.04;-;-;-;-;-;-;-;-;-;s.i.;s.i.;-;02/10/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad hasta 360 días;19.25;31.83;78.81;23.04;9.58;24.49;-;37.19;71.45;19.50;34.59;-;-;-;-;-;-;-;02/10/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad a más de 360 días;19.03;15.36;21.12;20.64;17.11;18.68;-;21.26;46.48;12.46;32.58;-;32.80;63.37;-;s.i.;s.i.;-;02/10/2023;Consumo
     Créditos pignoraticios;-;49.57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;02/10/2023;Consumo
     Préstamos hipotecarios para vivienda;8.65;10.78;9.19;10.22;9.68;9.03;-;9.08;17.08;9.14;-;-;-;-;-;-;-;-;02/10/2023;Hipotecarios
