Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa
     Préstamos de 31 a 90 días;24.36;-;14.50;-;15.29;13.50;-;11.94;42.32;-;-;-;-;-;-;s.i.;s.i.;-;01/09/2023;Pequeñas Empresas
     Préstamos de 91 a 180 días;22.53;-;13.80;-;14.09;14.11;-;13.25;38.81;-;-;-;-;-;-;-;-;-;01/09/2023;Pequeñas Empresas
     Préstamos de 181 a 360 días;22.51;15.62;18.20;-;13.14;17.78;-;26.94;34.77;-;23.06;-;-;-;-;s.i.;s.i.;-;01/09/2023;Pequeñas Empresas
     Préstamos a más de 360 días;21.66;-;20.95;13.12;-;17.20;-;22.81;24.84;-;24.35;-;-;-;-;-;-;-;01/09/2023;Pequeñas Empresas
     Tarjetas de Crédito;33.33;-;31.26;26.63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/09/2023;Microempresas
     Descuentos;10.46;-;18.66;-;-;14.76;-;17.70;-;-;-;-;-;-;-;s.i.;s.i.;-;01/09/2023;Microempresas
     Préstamos Revolventes;22.82;-;-;-;-;-;-;-;47.07;-;-;-;-;-;-;-;-;-;01/09/2023;Microempresas
     Préstamos a cuota fija hasta 30 días;20.42;-;-;-;-;-;-;-;54.97;-;-;-;-;-;-;s.i.;s.i.;-;01/09/2023;Microempresas
     Préstamos  a cuota fija de 31 a 90 días;20.34;-;14.10;-;-;-;-;58.11;69.33;-;-;-;-;-;-;-;-;-;01/09/2023;Microempresas
     Préstamos  a cuota fija de 91 a 180 días;21.96;-;14.43;-;-;13.99;-;47.39;61.05;-;-;-;-;-;-;s.i.;s.i.;-;01/09/2023;Microempresas
     Préstamos a cuota fija de 181 a 360 días;22.03;-;26.36;-;-;21.82;-;52.49;55.88;-;28.47;-;-;-;-;-;-;-;01/09/2023;Microempresas
     Préstamos a cuota fija a más de 360 días;18.60;-;27.62;13.12;-;16.29;-;24.18;34.21;-;25.36;-;-;-;-;s.i.;s.i.;-;01/09/2023;Microempresas
     Tarjetas de Crédito;52.51;27.79;59.85;37.68;55.51;46.81;-;70.48;-;42.57;89.42;-;87.88;-;-;s.i.;s.i.;-;01/09/2023;Consumo
     Préstamos Revolventes;12.83;-;-;-;-;-;-;-;57.44;-;-;-;-;-;-;-;-;-;01/09/2023;Consumo
     Préstamos no  Revolventes para automóviles;13.64;-;13.54;-;14.11;11.04;-;-;-;-;-;-;-;25.50;-;s.i.;s.i.;-;01/09/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad hasta 360 días;22.24;36.52;75.85;23.74;10.29;21.09;-;38.04;71.79;19.50;35.03;-;-;14.00;-;-;-;-;01/09/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad a más de 360 días;19.43;15.24;19.22;25.18;17.25;18.99;-;21.82;47.99;9.93;32.08;-;34.15;63.42;-;s.i.;s.i.;-;01/09/2023;Consumo
     Créditos pignoraticios;-;49.19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/09/2023;Consumo
     Préstamos hipotecarios para vivienda;8.88;10.77;9.32;10.31;9.74;9.00;-;9.21;17.66;9.15;-;-;-;-;-;-;-;-;01/09/2023;Hipotecarios
