Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa
     Descuentos;10.39;-;9.48;-;8.58;9.44;-;10.22;-;-;-;12.86;-;-;-;-;-;-;01/09/2023;Corporativos
     Préstamos hasta 30 días;10.70;-;8.91;11.90;10.34;8.43;-;10.11;-;-;-;13.26;-;-;-;s.i.;s.i.;9.57;01/09/2023;Corporativos
     Préstamos de 31 a 90 días;10.41;-;9.40;9.44;9.91;8.86;8.88;9.62;-;9.32;-;12.85;-;-;10.27;-;-;9.12;01/09/2023;Corporativos
     Préstamos de 91 a 180 días;8.80;-;9.03;9.10;9.84;8.96;-;9.42;-;8.90;-;12.49;-;-;12.61;s.i.;s.i.;-;01/09/2023;Corporativos
     Préstamos de 181 a 360 días;8.54;-;8.64;-;8.09;8.11;8.53;-;-;-;-;11.71;-;-;-;-;-;8.63;01/09/2023;Corporativos
     Préstamos a más de 360 días;8.18;13.00;8.54;-;9.65;8.34;-;8.78;-;-;-;12.99;-;-;-;s.i.;s.i.;-;01/09/2023;Corporativos
     Descuentos;13.02;17.27;10.97;10.76;10.00;9.92;-;11.09;-;11.00;-;13.66;-;-;-;s.i.;s.i.;-;01/09/2023;Grandes Empresas
     Préstamos hasta 30 días;11.07;-;11.54;10.08;13.02;8.60;8.85;11.99;-;-;-;13.16;-;-;-;-;-;-;01/09/2023;Grandes Empresas
     Préstamos de 31 a 90 días;11.49;13.00;11.00;10.54;11.32;10.04;-;11.53;-;10.21;-;13.82;-;-;-;s.i.;s.i.;-;01/09/2023;Grandes Empresas
     Préstamos de 91 a 180 días;9.91;12.59;10.67;10.47;11.43;9.35;9.88;11.15;-;9.69;-;13.87;-;-;10.04;-;-;-;01/09/2023;Grandes Empresas
     Préstamos de 181 a 360 días;10.63;-;9.97;11.96;10.88;14.56;8.02;9.19;-;-;-;19.40;-;-;-;s.i.;s.i.;10.23;01/09/2023;Grandes Empresas
     Préstamos a más de 360 días;11.97;-;7.64;11.65;9.02;10.12;-;9.16;-;-;-;12.55;-;-;-;-;-;-;01/09/2023;Grandes Empresas
     Descuentos;15.76;23.48;13.74;13.10;13.01;12.75;-;11.81;-;-;-;13.02;-;-;-;-;-;-;01/09/2023;Medianas Empresas
     Préstamos hasta 30 días;15.28;-;11.79;13.88;10.35;13.84;-;13.36;-;-;-;10.30;-;-;-;s.i.;s.i.;-;01/09/2023;Medianas Empresas
     Préstamos de 31 a 90 días;16.58;12.66;12.87;11.12;13.12;13.24;10.95;13.19;27.98;12.27;-;10.70;-;-;-;-;-;-;01/09/2023;Medianas Empresas
     Préstamos de 91 a 180 días;15.19;9.75;12.96;13.13;14.06;12.70;9.20;12.28;27.48;10.50;-;-;-;-;-;s.i.;s.i.;-;01/09/2023;Medianas Empresas
     Préstamos de 181 a 360 días;12.80;11.49;12.45;13.07;14.33;12.82;-;12.70;20.98;-;-;-;-;-;-;-;-;-;01/09/2023;Medianas Empresas
     Préstamos a más de 360 días;15.96;14.00;16.03;12.08;11.38;13.91;-;12.64;19.48;-;-;-;-;-;-;s.i.;s.i.;-;01/09/2023;Medianas Empresas
     Descuentos;22.29;13.00;17.76;11.96;20.39;11.89;-;13.31;-;-;-;13.83;-;-;-;s.i.;s.i.;-;01/09/2023;Pequeñas Empresas
     Préstamos hasta 30 días;23.68;-;13.44;-;-;13.16;-;12.57;30.93;-;-;-;-;-;-;-;-;-;01/09/2023;Pequeñas Empresas
