Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa
     Préstamos a cuota fija de 181 a 360 días;22.55;-;18.65;-;-;-;-;46.76;55.72;-;27.95;-;-;-;-;-;-;-;01/08/2023;Microempresas
     Préstamos a cuota fija a más de 360 días;19.57;-;27.79;13.37;11.60;16.32;-;23.56;33.15;-;24.98;-;-;-;-;s.i.;s.i.;-;01/08/2023;Microempresas
     Tarjetas de Crédito;50.85;28.33;58.90;39.02;57.56;45.61;-;70.63;-;42.73;90.83;-;86.04;-;-;s.i.;s.i.;-;01/08/2023;Consumo
     Préstamos Revolventes;12.89;-;-;-;-;-;-;-;57.21;-;-;-;-;-;-;-;-;-;01/08/2023;Consumo
     Préstamos no  Revolventes para automóviles;13.39;-;13.70;-;14.46;11.50;-;-;-;-;-;-;-;25.50;-;s.i.;s.i.;-;01/08/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad hasta 360 días;20.63;38.53;73.73;22.62;10.93;23.30;-;29.09;71.44;-;34.89;-;-;18.50;-;-;-;-;01/08/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad a más de 360 días;19.26;15.22;17.98;31.04;16.94;18.66;-;22.25;48.84;9.99;32.11;-;35.37;63.65;-;s.i.;s.i.;-;01/08/2023;Consumo
     Créditos pignoraticios;-;49.15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/08/2023;Consumo
     Préstamos hipotecarios para vivienda;9.01;10.68;9.31;10.45;9.90;9.11;-;9.45;18.60;9.22;-;-;-;-;-;-;-;-;01/08/2023;Hipotecarios
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Nota: Cuadro elaborado sobre la base de la información remitida diariamente por las Empresas Bancarias a través del Reporte N°6. Las tasas de interés tienen carácter referencial. Las definiciones de los tipos de crédito se encuentran en el Reglamento para la Evaluación y Clasificación del Deudor y la Exigencia de Provisiones, aprobado mediante Resolución SBS N° 11356-2008 (Ver definiciones).;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
