Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa
     Descuentos;10.64;12.50;9.29;-;6.74;9.91;-;10.03;-;-;-;12.14;-;-;-;-;-;-;03/07/2023;Corporativos
     Préstamos hasta 30 días;8.93;-;8.84;9.60;10.21;8.80;-;10.00;-;-;-;13.24;-;-;-;s.i.;s.i.;9.50;03/07/2023;Corporativos
     Préstamos de 31 a 90 días;10.15;-;9.52;10.39;9.53;9.67;-;9.40;-;-;-;11.30;-;-;9.72;-;-;10.09;03/07/2023;Corporativos
     Préstamos de 91 a 180 días;9.40;-;9.40;-;10.09;-;-;9.84;-;-;-;12.26;-;-;8.86;s.i.;s.i.;-;03/07/2023;Corporativos
     Préstamos de 181 a 360 días;8.78;-;8.83;-;-;8.66;-;-;-;-;-;-;-;-;-;-;-;-;03/07/2023;Corporativos
     Préstamos a más de 360 días;8.89;-;8.51;-;10.50;8.51;-;9.02;-;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Corporativos
     Descuentos;13.10;16.43;10.97;11.15;10.65;10.19;-;11.76;-;10.93;-;11.01;-;-;-;s.i.;s.i.;-;03/07/2023;Grandes Empresas
     Préstamos hasta 30 días;11.63;12.67;11.28;10.64;10.44;10.96;8.85;10.40;-;9.43;-;13.13;-;-;-;-;-;-;03/07/2023;Grandes Empresas
     Préstamos de 31 a 90 días;10.96;12.50;10.86;10.63;11.47;10.09;-;10.87;-;10.36;-;12.79;-;-;8.96;s.i.;s.i.;-;03/07/2023;Grandes Empresas
     Préstamos de 91 a 180 días;10.84;11.81;10.23;10.68;11.25;10.64;9.70;11.22;-;10.13;-;13.84;-;-;9.00;-;-;9.57;03/07/2023;Grandes Empresas
     Préstamos de 181 a 360 días;10.10;-;9.70;12.12;9.83;11.92;-;-;-;10.10;-;14.90;-;-;-;s.i.;s.i.;-;03/07/2023;Grandes Empresas
     Préstamos a más de 360 días;9.04;-;10.62;11.20;10.32;8.30;-;10.00;-;10.10;-;12.70;-;-;-;-;-;-;03/07/2023;Grandes Empresas
     Descuentos;15.59;12.79;14.11;13.80;13.00;13.05;-;12.09;-;-;-;13.35;-;-;-;-;-;-;03/07/2023;Medianas Empresas
     Préstamos hasta 30 días;16.37;13.60;13.67;9.78;10.75;14.35;-;14.74;57.17;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Medianas Empresas
     Préstamos de 31 a 90 días;15.07;10.76;13.10;11.34;12.34;13.31;11.23;13.93;30.60;13.34;-;10.45;-;-;-;-;-;-;03/07/2023;Medianas Empresas
     Préstamos de 91 a 180 días;14.48;11.68;12.68;13.13;12.72;12.95;-;12.85;28.17;9.38;-;10.62;-;-;-;s.i.;s.i.;-;03/07/2023;Medianas Empresas
     Préstamos de 181 a 360 días;14.63;13.11;11.78;10.01;13.10;12.94;-;13.01;21.33;-;-;-;-;-;-;-;-;-;03/07/2023;Medianas Empresas
     Préstamos a más de 360 días;16.23;-;16.62;9.24;12.22;14.59;-;22.16;17.48;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Medianas Empresas
     Descuentos;21.96;-;17.64;-;20.77;15.03;-;12.77;-;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Pequeñas Empresas
     Préstamos hasta 30 días;21.64;-;10.70;-;-;-;-;-;38.57;-;-;-;-;-;-;-;-;-;03/07/2023;Pequeñas Empresas
     Préstamos de 31 a 90 días;22.05;-;14.64;-;16.28;13.79;-;22.91;42.60;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Pequeñas Empresas
     Préstamos de 91 a 180 días;20.56;-;12.39;12.30;13.16;14.59;-;13.63;37.20;-;-;-;-;-;-;-;-;-;03/07/2023;Pequeñas Empresas
     Préstamos de 181 a 360 días;21.09;14.11;17.00;-;14.10;16.21;-;27.53;33.89;-;23.53;-;-;-;-;s.i.;s.i.;-;03/07/2023;Pequeñas Empresas
     Préstamos a más de 360 días;20.42;-;21.46;12.93;12.42;16.34;-;23.11;23.29;-;23.47;-;-;-;-;-;-;-;03/07/2023;Pequeñas Empresas
     Tarjetas de Crédito;33.45;-;30.85;28.83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;03/07/2023;Microempresas
     Descuentos;-;-;17.04;-;24.60;14.80;-;-;-;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Microempresas
     Préstamos Revolventes;21.98;-;-;-;10.49;-;-;13.07;45.65;-;-;-;-;-;-;-;-;-;03/07/2023;Microempresas
     Préstamos a cuota fija hasta 30 días;25.33;-;14.07;-;-;-;-;12.80;50.26;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Microempresas
     Préstamos  a cuota fija de 31 a 90 días;26.44;-;11.80;-;-;-;-;15.57;69.34;-;-;-;-;-;-;-;-;-;03/07/2023;Microempresas
     Préstamos  a cuota fija de 91 a 180 días;24.52;-;21.16;-;-;-;-;49.43;62.47;-;-;-;-;-;-;s.i.;s.i.;-;03/07/2023;Microempresas
     Préstamos a cuota fija de 181 a 360 días;23.03;-;15.41;-;-;19.20;-;30.00;54.94;-;27.31;-;-;-;-;-;-;-;03/07/2023;Microempresas
     Préstamos a cuota fija a más de 360 días;21.84;-;29.66;13.72;-;15.73;-;23.32;30.71;-;25.72;-;-;-;-;s.i.;s.i.;-;03/07/2023;Microempresas
     Tarjetas de Crédito;51.54;28.39;57.33;39.80;53.51;45.13;-;70.05;-;36.07;85.67;-;80.23;-;-;s.i.;s.i.;-;03/07/2023;Consumo
     Préstamos Revolventes;13.11;-;-;-;-;-;-;-;56.56;-;-;-;-;-;-;-;-;-;03/07/2023;Consumo
     Préstamos no  Revolventes para automóviles;13.32;-;14.04;-;14.57;11.23;-;-;-;-;-;-;-;25.50;-;s.i.;s.i.;-;03/07/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad hasta 360 días;20.37;42.35;64.29;22.24;10.59;22.93;-;31.00;70.92;-;32.43;-;-;18.50;-;-;-;-;03/07/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad a más de 360 días;19.38;15.30;19.06;33.10;16.83;18.77;-;23.44;46.14;10.52;30.36;-;35.11;65.67;-;s.i.;s.i.;-;03/07/2023;Consumo
