#;Código;País;Partida;Descripción;Peso Neto Kg.;Valor FOB USD.;fechaInicio;fechaFinal
536;ES;España;6110111090;"LOS DEMÁS SUÉTERES (JERSEYS) DE LANA; A EXCEPCIÓN DE LOS CON CUELLO DE CISNE(""SOUS PULL"", ""TURTLE NECK"")";7772.01;429420;01/01/2022;30/09/2022
537;BE;Bélgica;7905000091;DISCOS, HEXÁGONOS, DE CINC CUYA MAYOR DIMENSIÓN NO EXCEDA DE 30 MM;96000;427458.53;01/01/2022;30/09/2022
538;IT;Italia;6103420000;PANTALONES LARGOS, PANTALONES CON PETO, PANTALONES CORTOS (CALZÓN) Y SHORTS DE PUNTO, PARA HOMBRES O NIÑOS, DE ALGODÓN;10856.63;425907.69;01/01/2022;30/09/2022
539;NL;Países Bajos (Holanda);3302109000;DEMÁS MEZCLAS DE SUSTANCIAS ODORÍFERAS PARA INDUSTRIA ALIMENTARIA O DE BEBIDAS;86643.85;424667.98;01/01/2022;30/09/2022
540;ES;España;6104630000;PANTALONES LARGOS, PANTALONES CON PETO, PANTALONES CORTOS (CALZÓN) Y SHORTS DE PUNTO, PARA MUJERES O NIÑAS, DE FIBRAS SINTÉTICAS;2870.45;423157.44;01/01/2022;30/09/2022
541;CZ;República Checa;2817001000;ÓXIDO DE CINC (BLANCO O FLOR DE CINC);120000;422453.22;01/01/2022;30/09/2022
542;GB;Reino Unido;3203002100;CARMÍN DE COCHINILLA;12175;421173.8;01/01/2022;30/09/2022
543;ES;España;4104110000;"CUEROS Y PIELES CURTIDOS O CRUST DE BOVINO O DE EQUINO, DEPILADOS, EN ESTADO HÚMEDO, PLENA FLOR SIN DIVIDIR; DIVIDIDOS CON LA FLOR";102679;420130.31;01/01/2022;30/09/2022
544;DE;Alemania;8430410000;MÁQUINAS DE SONDEO O PERFORACIÓN AUTOPROPULSADAS;8550;416335;01/01/2022;30/09/2022
545;EE;Estonia;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;77280;416087.84;01/01/2022;30/09/2022
546;IT;Italia;5501309000;"LOS DEMÁS CABLES DE FILAMENTOS SINTÉTICOS, ACRÍLICOS O MODACRÍLICOS; A EXCEPCIÓN DE LOS OBTENIDOS POR EXTRUSIÓN HÚMEDA.";132574;415783.32;01/01/2022;30/09/2022
547;SE;Suecia;6111200000;PRENDAS Y COMPLEMENTOS DE VESTIR DE PUNTO PARA BEBÉS, DE ALGODÓN;6638.65;415066;01/01/2022;30/09/2022
548;GB;Reino Unido;5108200000;HILADOS DE PELO FINO PEINADO SIN ACONDICIONAR PARA LA VENTA EL POR MENOR;13610.77;413578.09;01/01/2022;30/09/2022
549;IT;Italia;6105100041;CAMISAS DE PUNTO ALGODÓN ABERTURA DELANTERA PARCIAL, CON CUELLO Y PUÑOS DE TEJIDO ACANALADO PARA HOMBRES, TEÑIDO DE UN SOLO COLOR;6844.77;412631.67;01/01/2022;30/09/2022
550;FR;Francia;3301130000;ACEITES ESENCIALES DE LIMÓN.;7257.55;412501;01/01/2022;30/09/2022
551;PT;Portugal;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;103018.31;410531.53;01/01/2022;30/09/2022
552;DK;Dinamarca;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;100200.5;410486.88;01/01/2022;30/09/2022
553;NL;Países Bajos (Holanda);6110209090;"LOS DEMÁS SUÉTERES (JERSEYS), «PULLOVERS», CARDIGANES, CHALECOS Y ARTÍCULOS SIMILARES, DE PUNTO Y DE ALGODÓN; A EXCEPCIÓN DE LOS CON CUELLO DE CISNE (SOUS PULL, TURTLE NECK).";6651.69;410374.05;01/01/2022;30/09/2022
554;ES;España;2301209000;HARINA, POLVO Y PELLETS, DE CRUSTÁCEOS, MOLUSCOS U OTROS INVERTEBRADOS ACUÁTICOS;187024;408363.52;01/01/2022;30/09/2022
555;FR;Francia;6104420000;VESTIDOS DE PUNTO PARA MUJERES O NIÑAS, DE ALGODÓN;4249.37;407839.77;01/01/2022;30/09/2022
556;DK;Dinamarca;306179900;LOS DEMÁS LOS DEMÁS CAMARONES, LANGOSTINOS Y DEMÁS DECÁPODOS NATANTIA EXCEPTO CAMARONES DE RÍO DE LOS GÉNEROS MACROBRACHIUM.;38525;406139.37;01/01/2022;30/09/2022
557;FR;Francia;5810910000;LOS DEMÁS BORDADOS EN PIEZA DE ALGODÓN;11162.96;405640.89;01/01/2022;30/09/2022
558;FI;Finlandia;8430410000;MÁQUINAS DE SONDEO O PERFORACIÓN AUTOPROPULSADAS;8559.5;405000;01/01/2022;30/09/2022
559;IT;Italia;811909900;LOS DEMÁS FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.;125933.11;404493.32;01/01/2022;30/09/2022
560;ES;España;1302399000;LOS DEMÁS MUCÍLAGOS Y ESPESATIVOS DERIVADOS DE LOS VEGETALES;20050;403685.65;01/01/2022;30/09/2022
561;LT;Lituania;303140000;TRUCHAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYSOGASTER);132525;403071.75;01/01/2022;30/09/2022
562;PT;Portugal;306171300;COLAS DE LANGOSTINOS CONGELADAS, CON CAPARAZÓN, SIN COSER EN AGUA O VAPOR;57873;403026.7;01/01/2022;30/09/2022
563;SE;Suecia;1008509000;QUINUA (QUINOA) (CHENOPODIUM QUINOA) EXCEPTO PARA SIEMBRA;200593;401061;01/01/2022;30/09/2022
564;DE;Alemania;5105391000;PELO FINO CARDADO O PEINADO DE ALPACA O DE LLAMA;29314.52;400709.27;01/01/2022;30/09/2022
565;FI;Finlandia;3205000000;"LACAS COLORANTES; PREPARACIONES A QUE SE REFIERE LA NOTA 3 DE ESTE CAPÍTULO A BASE DE LACAS COLORANTES";4000;399670;01/01/2022;30/09/2022
566;DE;Alemania;6110201090;"LOS DEMÁS SUÉTERES (JERSEYS) DE ALGODÓN; A EXCEPCIÓN DE LOS CON CUELLO DE CISNE (SOUS PULL, TURTLE NECK).";9572.49;399264.69;01/01/2022;30/09/2022
567;PL;Polonia;304740020;EN BLOQUES, SIN PIEL, SIN ESPINAS;116940;399044.38;01/01/2022;30/09/2022
568;DE;Alemania;6115940000;DEMÁS, CALCETINES Y DEMÁS ARTÍCULOS DE CALCETERÍA DE LANA O PELO FINO;7230.5;398224.77;01/01/2022;30/09/2022
569;IT;Italia;710801000;ESPÁRRAGO CONGELADO AUNQUE ESTÉN COCIDAS EN AGUA O VAPOR.;139708;397977.3;01/01/2022;30/09/2022
570;DE;Alemania;6110201010;"SUÉTERES (JERSEYS) DE ALGODÓN CON CUELLO DE CISNE (""SOUS PULL"", ""TURTLE NECK"")";14298.24;397899.5;01/01/2022;30/09/2022
571;DE;Alemania;712200000;CEBOLLAS SECAS, CORTADAS EN TROZOS O RODAJAS, O TRITURADAS, O PULVERIZADAS, SIN OTRA PREPARACIÓN;16085.6;397888.67;01/01/2022;30/09/2022
572;LT;Lituania;304820000;TRUCHAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYSOGASTER);148700;396358.88;01/01/2022;30/09/2022
573;IE;Irlanda (Eire);306179900;LOS DEMÁS LOS DEMÁS CAMARONES, LANGOSTINOS Y DEMÁS DECÁPODOS NATANTIA EXCEPTO CAMARONES DE RÍO DE LOS GÉNEROS MACROBRACHIUM.;35995;396332.61;01/01/2022;30/09/2022
574;IT;Italia;805299000;WILKINGS E HÍBRIDOS SIMILARES DE AGRIOS (CÍTRICOS) EXCEPTO TANGELO;457040;396254.95;01/01/2022;30/09/2022
575;PL;Polonia;304740030;EN BLOQUES, PICADO;120000;394318.8;01/01/2022;30/09/2022
576;FR;Francia;1211909099;LAS DEMÁS PLANTAS, PARTES DE PLANTAS, SEMILLAS Y FRUTOS DE LAS ESPECIES UTILIZADAS PRINCIPALMENTE EN PERFUMERÍA, MEDICINA O PARA USOS INSECTICIDAS, PARASITICIDAS O SIMILARES EXCEPTO REFRIGERADOS, CONGELADOS;90888.65;392515.93;01/01/2022;30/09/2022
577;ES;España;1701130000;AZÚCAR DE CAÑA MENCIONADO EN LA NOTA 2 DE SUBPARTIDA DE ESTE CAPÍTULO;201409;391537.07;01/01/2022;30/09/2022
578;FR;Francia;801220000;NUECES DEL BRASIL SIN CÁSCARA FRESCAS O SECAS;48800;390044.89;01/01/2022;30/09/2022
579;NL;Países Bajos (Holanda);1302391000;MUCÍLAGOS DE SEMILLA DE TARA (CAESALPINEA SPINOSA);20000;388542;01/01/2022;30/09/2022
580;PL;Polonia;1008509000;QUINUA (QUINOA) (CHENOPODIUM QUINOA) EXCEPTO PARA SIEMBRA;202950;386215.41;01/01/2022;30/09/2022
581;GB;Reino Unido;2005800000;MAÍZ DULCE (ZEA MAYS VAR. SACCHARATA), SIN CONGELAR;276168;385221.36;01/01/2022;30/09/2022
582;NL;Países Bajos (Holanda);7905000011;LAMINADOS PLANOS DE CINC DE ESPESOR INFERIOR O IGUAL A 0,65 MM;86526.7;380585.39;01/01/2022;30/09/2022
583;DE;Alemania;2008300000;AGRIOS (CÍTRICOS) PREPARADOS O CONSERVADOS DE OTRO MODO;498594.7;379484.3;01/01/2022;30/09/2022
584;NL;Países Bajos (Holanda);304740020;EN BLOQUES, SIN PIEL, SIN ESPINAS;104560;375860.55;01/01/2022;30/09/2022
585;BE;Bélgica;5108200000;HILADOS DE PELO FINO PEINADO SIN ACONDICIONAR PARA LA VENTA EL POR MENOR;13795.51;370727.9;01/01/2022;30/09/2022
586;DE;Alemania;8474900000;PARTES DE MÁQUINAS Y APARATOS DE LA PARTIDA NO 84.74;84062;369517.32;01/01/2022;30/09/2022
587;NL;Países Bajos (Holanda);5608110000;REDES CONFECCIONADAS PARA LA PESCA DE MATERIAL TEXTIL SINTÉTICA O ARTIFICIAL;48290.63;369411.05;01/01/2022;30/09/2022
588;NL;Países Bajos (Holanda);2008999000;DEMÁS FRUTAS O FRUTOS Y DEMÁS PARTÍCULAS COMESTIBLES DE PLANTAS, PREPARADAS O CONSERVADAS DE OTRO MODO;180870;369174;01/01/2022;30/09/2022
589;FR;Francia;6105100051;CAMISAS DE PUNTO ALGODÓN CON CUELLO Y ABERTURA DELANTERA PARCIAL PARA HOMBRE, DE TEJIDO TEÑIDO DE UN SÓLO COLOR INCLUIDO LOS BLANQUEADOS;5902.09;363892.26;01/01/2022;30/09/2022
590;DE;Alemania;710801000;ESPÁRRAGO CONGELADO AUNQUE ESTÉN COCIDAS EN AGUA O VAPOR.;109590;363660.23;01/01/2022;30/09/2022
591;GR;Grecia;713359000;FRIJOLES SALVAJES O CAUPÍ EXCEPTO PARA SIEMBRA;273735;363443.41;01/01/2022;30/09/2022
592;BE;Bélgica;3205000000;"LACAS COLORANTES; PREPARACIONES A QUE SE REFIERE LA NOTA 3 DE ESTE CAPÍTULO A BASE DE LACAS COLORANTES";4900;362865.11;01/01/2022;30/09/2022
593;PL;Polonia;7905000011;LAMINADOS PLANOS DE CINC DE ESPESOR INFERIOR O IGUAL A 0,65 MM;83745;361155.08;01/01/2022;30/09/2022
594;GB;Reino Unido;1801001900;CACAO EN GRANO, ENTERO O PARTIDO, CRUDO EXCEPTO PARA SIEMBRA;75310;360204;01/01/2022;30/09/2022
595;DE;Alemania;6110111090;"LOS DEMÁS SUÉTERES (JERSEYS) DE LANA; A EXCEPCIÓN DE LOS CON CUELLO DE CISNE(""SOUS PULL"", ""TURTLE NECK"")";4275.85;359133.35;01/01/2022;30/09/2022
596;DE;Alemania;2005993110;-  PIMIENTO PIQUILLO;214186;356977.32;01/01/2022;30/09/2022
597;DE;Alemania;804100000;DÁTILES, FRESCOS O SECOS;50394;356438.01;01/01/2022;30/09/2022
598;PT;Portugal;2842909000;LAS DEMÁS: DEMÁS SALES DE LOS ÁCIDOS O PEROXOÁCIDOS INORGÁNICOS, EXCEPTO LOS AZIDUROS(AZIDAS);110000;354753.42;01/01/2022;30/09/2022
599;FR;Francia;2208202100;PISCO;71739.61;354446.48;01/01/2022;30/09/2022
600;FR;Francia;804400000;AGUACATES (PALTAS) , FRESCAS O SECAS;232356;353992.56;01/01/2022;30/09/2022
601;NL;Países Bajos (Holanda);1404902000;TARA EN POLVO (CAESALPINEA SPINOSA);227000;352762.78;01/01/2022;30/09/2022
602;CZ;República Checa;5101110000;LANA SIN CARDAR NI PEINAR, SUCIA, INCLUSO LAVADA EN VIVO, ESQUILADA;237412;352700.32;01/01/2022;30/09/2022
603;SE;Suecia;2001909000;DEMÁS HORTALIZAS, FRUTAS Y DEMÁS PARTÍCULAS COMESTIBLES DE PLANTAS, PREPARADAS O CONSERVADAS EN VINAGRE;278561.76;352684.9;01/01/2022;30/09/2022
604;DE;Alemania;2810001000;ÁCIDO ORTO BÓRICO;420000;350910.23;01/01/2022;30/09/2022
605;NL;Países Bajos (Holanda);6114200000;LAS DEMÁS PRENDAS DE VESTIR DE PUNTO DE ALGODÓN;8428.18;350667.82;01/01/2022;30/09/2022
606;PT;Portugal;306171200;COLAS DE LANGOSTINO ,SIN CAPARAZÓN, CONGELADOS;37495.8;350306.98;01/01/2022;30/09/2022
607;DE;Alemania;6117809000;LOS DEMÁS COMPLEMENTOS DE VESTIR;3266.24;344967.45;01/01/2022;30/09/2022
608;RO;Rumania;810909000;LOS DEMÁS FRUTAS U OTROS FRUTOS FRESCOS;320431.2;343924.28;01/01/2022;30/09/2022
609;DE;Alemania;6105100099;LAS DEMÁS CAMISAS DE PUNTO DE ALGODÓN PARA HOMBRES O NIÑOS;5935.73;341580.8;01/01/2022;30/09/2022
610;IE;Irlanda (Eire);805299000;WILKINGS E HÍBRIDOS SIMILARES DE AGRIOS (CÍTRICOS) EXCEPTO TANGELO;353645.1;339781.13;01/01/2022;30/09/2022
611;DE;Alemania;6103420000;PANTALONES LARGOS, PANTALONES CON PETO, PANTALONES CORTOS (CALZÓN) Y SHORTS DE PUNTO, PARA HOMBRES O NIÑOS, DE ALGODÓN;7301.28;338320.13;01/01/2022;30/09/2022
612;GR;Grecia;7404000000;DESPERDICIOS Y DESECHOS, DE COBRE.;81428.2;337240.95;01/01/2022;30/09/2022
613;ES;España;1211909099;LAS DEMÁS PLANTAS, PARTES DE PLANTAS, SEMILLAS Y FRUTOS DE LAS ESPECIES UTILIZADAS PRINCIPALMENTE EN PERFUMERÍA, MEDICINA O PARA USOS INSECTICIDAS, PARASITICIDAS O SIMILARES EXCEPTO REFRIGERADOS, CONGELADOS;66186.49;336914.52;01/01/2022;30/09/2022
614;DE;Alemania;806100000;UVAS FRESCAS;146175;334490.77;01/01/2022;30/09/2022
615;ES;España;910300000;CÚRCUMA;243191.48;333094.93;01/01/2022;30/09/2022
616;DK;Dinamarca;709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;89700;331592.95;01/01/2022;30/09/2022
617;IT;Italia;2840200000;LOS DEMÁS BORATOS;129000;330241.61;01/01/2022;30/09/2022
618;FR;Francia;1803100000;PASTA DE CACAO SIN DESGRASAR;49580;329137.98;01/01/2022;30/09/2022
619;NL;Países Bajos (Holanda);4409229090;MADERA PERFILADA EXCEPTO DE IPÉ Y EXCEPTO MADERA MOLDURADA Y TABLILLAS Y FRISOS PARA PARQUÉS, SIN ENSAMBLAR;172561.49;328139.09;01/01/2022;30/09/2022
620;HU;Hungría;2106907200;COMPLEMENTOS Y SUPLEMENTOS ALIMENTICIOS QUE CONTENGAN EXCLUSIVAMENTE MEZCLAS O EXTRACTOS DE PLANTAS, PARTES DE PLANTAS, SEMILLAS O FRUTOS, CON VITAMINAS, MINERALES U OTRAS SUSTANCIAS;1700;326430;01/01/2022;30/09/2022
621;DE;Alemania;1106309000;HARINA, SÉMOLA, Y POLVO DE LOS DEMÁS PRODUCTOS DEL CAPÍTULO 8 EXCLUIDOS BANANAS O PLÁTANOS;17013.87;325349.78;01/01/2022;30/09/2022
622;DE;Alemania;6117100000;CHALES, PAÑUELOS DE CUELLO, BUFANDAS, MANTILLAS, VELOS Y ARTÍCULOS SIMILARES;3219.08;324843.37;01/01/2022;30/09/2022
623;DE;Alemania;7103109000;LAS DEMÁS PIEDRAS PRECIOSAS EXCEPTO ESMERALDAS EN BRUTO O SIMPLEMENTE ASERRADAS O DESBASTADAS;27718.91;322471.91;01/01/2022;30/09/2022
624;FR;Francia;303890000;LOS DEMÁS EXCEPTO LOS HÍGADOS, HUEVAS Y LECHAS DE CAZONES Y DEMÁS ESCUALOS, RAYAS (RAJIDAE), AUSTROMERLUZA ANTÁRTICA Y AUSTROMERLUZA NEGRA (MERLUZA NEGRA, BACALAO DE PROFUNDIDAD, NOTOTENIA NEGRA)* (DISSOSTICHUS SPP.), RÓBALOS (DICENTRARCHUS SPP.).;69700;321708.52;01/01/2022;30/09/2022
625;ES;España;7308400000;MATERIAL DE ANDAMIAJE, ENCOFRADO, APEO O APUNTALAMIENTO DE FUNDICIÓN DE HIERRO O ACERO;241147.97;321536.28;01/01/2022;30/09/2022
626;BE;Bélgica;3920920000;LAS DEMÁS PLACAS, LÁMINAS, HOJAS Y TIRAS DE POLIAMIDAS;68493.31;321221.5;01/01/2022;30/09/2022
627;FR;Francia;1209919000;DEMÁS SEMILLAS DE HORTALIZAS;1554.15;319682.79;01/01/2022;30/09/2022
628;RO;Rumania;303660000;MERLUZAS (MERLUCCIUS SPP., UROPHYCIS SPP.);277200;319052;01/01/2022;30/09/2022
629;ES;España;2008993000;MANGOS PREPARADOS O CONSERVADOS;222516.84;317453.46;01/01/2022;30/09/2022
630;IT;Italia;6110309000;SUÉTERES, PULLOVERS, CARDIGANS, CHALECOS Y ARTÍCULOS SIMILARES DE FIBRAS ARTIFICIALES;6029.22;315814.9;01/01/2022;30/09/2022
631;NL;Países Bajos (Holanda);304820000;TRUCHAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYSOGASTER);35060;315128.91;01/01/2022;30/09/2022
632;GB;Reino Unido;2005993110;-  PIMIENTO PIQUILLO;169016.19;314096.88;01/01/2022;30/09/2022
633;BE;Bélgica;2843300000;COMPUESTOS DE ORO;64572;313497.06;01/01/2022;30/09/2022
634;DK;Dinamarca;2005600000;ESPÁRRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR;176314.76;313398.1;01/01/2022;30/09/2022
635;FR;Francia;6110209090;"LOS DEMÁS SUÉTERES (JERSEYS), «PULLOVERS», CARDIGANES, CHALECOS Y ARTÍCULOS SIMILARES, DE PUNTO Y DE ALGODÓN; A EXCEPCIÓN DE LOS CON CUELLO DE CISNE (SOUS PULL, TURTLE NECK).";7216.31;311886.67;01/01/2022;30/09/2022
636;NL;Países Bajos (Holanda);3923302000;PREFORMAS;132346.23;309562.07;01/01/2022;30/09/2022
637;DE;Alemania;2840200000;LOS DEMÁS BORATOS;165000;309248.59;01/01/2022;30/09/2022
638;NL;Países Bajos (Holanda);4303901000;ARTÍCULOS DE PELETERÍA DE ALPACA;6027.41;302523.43;01/01/2022;30/09/2022
639;PL;Polonia;8474900000;PARTES DE MÁQUINAS Y APARATOS DE LA PARTIDA NO 84.74;26704;301800;01/01/2022;30/09/2022
640;FI;Finlandia;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;75014.01;301075.75;01/01/2022;30/09/2022
641;NL;Países Bajos (Holanda);1106209000;HARINA, SÉMOLA Y POLVO DE SAGU O DE LAS RAÍCES O TUBÉRCULOS DE LA PARTIDAS 07.14;64700;300850.36;01/01/2022;30/09/2022
642;LT;Lituania;304740030;EN BLOQUES, PICADO;135000;299465;01/01/2022;30/09/2022
643;ES;España;304870000;ATUNES (DEL GÉNERO THUNNUS), LISTADOS O BONITOS DE VIENTRE RAYADO (EUTHYNNUS (KATSUWONUS) PELAMIS);54000;298866;01/01/2022;30/09/2022
644;BE;Bélgica;2008910000;PALMITOS PREPARADOS O CONSERVADOS DE OTRO MODO;114139.6;298791.08;01/01/2022;30/09/2022
645;ES;España;814009000;CORTEZAS DE LOS DEMÁS AGRIOS (CÍTRICOS) , MELONES O SANDÍAS FRESCAS, CONGELADAS, SECAS O CONSERVADAS.;298634;298634;01/01/2022;30/09/2022
646;IT;Italia;1211903000;ORÉGANO (ORIGANUM VULGARE);76743.19;298597.07;01/01/2022;30/09/2022
647;GB;Reino Unido;5103100000;BORRAS DEL PEINADO DE LANA O PELO FINO;70093.2;298543.04;01/01/2022;30/09/2022
648;DE;Alemania;7905000091;DISCOS, HEXÁGONOS, DE CINC CUYA MAYOR DIMENSIÓN NO EXCEDA DE 30 MM;68000;297939.99;01/01/2022;30/09/2022
649;GB;Reino Unido;8708220000;PARABRISAS, VIDRIOS TRASEROS (LUNETAS) Y DEMÁS VENTANILLAS ESPECIFICADOS EN LA NOTA 1 DE SUBPARTIDA DE ESTE CAPÍTULO;19573;297471.41;01/01/2022;30/09/2022
650;DK;Dinamarca;2001909000;DEMÁS HORTALIZAS, FRUTAS Y DEMÁS PARTÍCULAS COMESTIBLES DE PLANTAS, PREPARADAS O CONSERVADAS EN VINAGRE;256151.56;295117.1;01/01/2022;30/09/2022
651;NL;Países Bajos (Holanda);1515900090;LOS DEMÁS LAS DEMÁS GRASAS Y ACEITES VEGETALES FIJOS (INCLUIDO EL ACEITE DE JOJOBA), Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE EXCEPTO ACEITE DE LINO (DE LINAZA) Y SUS FRACCIONES, ACEITE DE MAÍZ Y SUS FRACCIONES, ACEITE DE RICINO Y SUS FRACCIONES, ACEITE DE SÉSAMO (AJONJOLÍ) Y SUS FRACCIONES Y ACEITE DE TUNG Y SUS FRACCIONES.;16491;294164.08;01/01/2022;30/09/2022
652;ES;España;1404902000;TARA EN POLVO (CAESALPINEA SPINOSA);180000;294075;01/01/2022;30/09/2022
653;GB;Reino Unido;811109000;FRESAS (FRUTILLAS) SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE, CONGELADOS;142770;293797;01/01/2022;30/09/2022
654;FR;Francia;710290000;LAS DEMÁS HORTALIZAS DE VAINA, INCLUSO DESVAINADAS, COCIDAS EN AGUA O VAPOR O CONGELADAS;149439.93;293726.4;01/01/2022;30/09/2022
655;NL;Países Bajos (Holanda);603199000;LOS DEMÁS FLORES FRESCAS EXCEPTO GYPSOPHILA (LLUVIA, ILUSIÓN) (GYPSOPHILIA PANICULATA L.) ASTER, ALSTROEMERIA, GERBERA.;68853.75;293343.7;01/01/2022;30/09/2022
656;SK;Eslovaquia;2106907100;COMPLEMENTOS Y SUPLEMENTOS ALIMENTICIOS QUE CONTENGAN EXCLUSIVAMENTE MEZCLAS O EXTRACTOS DE PLANTAS, PARTES DE PLANTAS, SEMILLAS O FRUTOS;1510;293112;01/01/2022;30/09/2022
657;DE;Alemania;1605540000;JIBIAS (SEPIAS)*, GLOBITOS, CALAMARES Y POTAS PRECOCIDA CONGELADA;40118;292833.39;01/01/2022;30/09/2022
658;GB;Reino Unido;2208202100;PISCO;51071.4;292693.73;01/01/2022;30/09/2022
659;IT;Italia;709600000;FRUTOS DE LOS GÉNEROS CAPSICUM O PIMENTA, FRESCOS O REFRIGERADOS;122313.95;292470.79;01/01/2022;30/09/2022
660;GB;Reino Unido;805100000;NARANJAS , FRESCAS O SECAS;1016400;291273.8;01/01/2022;30/09/2022
661;PT;Portugal;7905000011;LAMINADOS PLANOS DE CINC DE ESPESOR INFERIOR O IGUAL A 0,65 MM;68250;291055.79;01/01/2022;30/09/2022
662;FR;Francia;2008993000;MANGOS PREPARADOS O CONSERVADOS;212612.53;290045.8;01/01/2022;30/09/2022
663;FR;Francia;1106201000;HARINA, SÉMOLA Y POLVO DE MACA (LEPIDIUM MEYENII);33034.76;285235.77;01/01/2022;30/09/2022
664;IT;Italia;3205000000;"LACAS COLORANTES; PREPARACIONES A QUE SE REFIERE LA NOTA 3 DE ESTE CAPÍTULO A BASE DE LACAS COLORANTES";2420;285156.08;01/01/2022;30/09/2022
665;PL;Polonia;801220000;NUECES DEL BRASIL SIN CÁSCARA FRESCAS O SECAS;41600;283211;01/01/2022;30/09/2022
666;DE;Alemania;1211909091;LAS DEMÁS PLANTAS, PARTES DE PLANTAS, SEMILLAS Y FRUTOS DE LAS ESPECIES UTILIZADAS PRINCIPALMENTE EN PERFUMERÍA, MEDICINA O PARA USOS INSECTICIDAS, PARASITICIDAS O SIMILARES REFRIGERADOS, CONGELADOS;92270;282007.14;01/01/2022;30/09/2022
667;ES;España;2833250000;SULFATO DE COBRE;102000;281593.57;01/01/2022;30/09/2022
668;SE;Suecia;803901100;BANANAS FRESCAS TIPO «CAVENDISH VALERY»;470188.8;281448;01/01/2022;30/09/2022
669;FR;Francia;1801001900;CACAO EN GRANO, ENTERO O PARTIDO, CRUDO EXCEPTO PARA SIEMBRA;71038;280638;01/01/2022;30/09/2022
670;GB;Reino Unido;710809000;LOS DEMÁS HORTALIZAS INCLUSO SILVESTRES CONGELADAS EXCEPTO ESPÁRRAGO;163190.68;279674.3;01/01/2022;30/09/2022
671;DE;Alemania;6106100031;CAMISAS BLUSAS DE PUNTO DE ALGODÓN PARA MUJERES O NIÑAS, CON CUELLO Y ABERTURA DELANTERA PARCIAL, UN SÓLO COLOR INCLUSO BLANQUEADO;4157.69;278242.83;01/01/2022;30/09/2022
672;BE;Bélgica;6109100039;LOS DEMÁS T-SHIRTS DE ALGODÓN, PARA HOMBRES O MUJERES;3458.36;278045.41;01/01/2022;30/09/2022
673;FR;Francia;4409299000;LAS DEMÁS MADERAS MOLDURADAS;94768;277398.3;01/01/2022;30/09/2022
674;FR;Francia;3203002100;CARMÍN DE COCHINILLA;3100;275329.98;01/01/2022;30/09/2022
675;GB;Reino Unido;6106100039;LAS DEMÁS CAMISAS BLUSAS DE PUNTO DE ALGODÓN, PARA MUJERES O NIÑAS CON ABERTURA DELANTERA PARCIAL;6622.75;275100.09;01/01/2022;30/09/2022
676;BE;Bélgica;4409229010;TABLILLAS Y FRISOS PARA PARQUÉS, SIN ENSAMBLAR DE MADERAS TROPICALES EXCEPTO DE IPÉ;96970;273928.28;01/01/2022;30/09/2022
677;IE;Irlanda (Eire);709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;79590;272947.84;01/01/2022;30/09/2022
678;GB;Reino Unido;6110191090;"LOS DEMÁS SUÉTERES (JERSEYS), DE LANA O PELO FINO; A EXCEPCIÓN DE LOS CON CUELLO DE CISNE (SOUS PULL, TURTLE NECK).";2226.26;272027.29;01/01/2022;30/09/2022
679;GB;Reino Unido;1515900090;LOS DEMÁS LAS DEMÁS GRASAS Y ACEITES VEGETALES FIJOS (INCLUIDO EL ACEITE DE JOJOBA), Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE EXCEPTO ACEITE DE LINO (DE LINAZA) Y SUS FRACCIONES, ACEITE DE MAÍZ Y SUS FRACCIONES, ACEITE DE RICINO Y SUS FRACCIONES, ACEITE DE SÉSAMO (AJONJOLÍ) Y SUS FRACCIONES Y ACEITE DE TUNG Y SUS FRACCIONES.;9190.5;271444.21;01/01/2022;30/09/2022
